City,Lat,Lon,Temp,HUM,Cloud,Wind
Fethiye,36.6217,29.1164,69.67,75,4,3.87
Aswan,24.0934,32.907,93.34,12,0,8.75
Kaitangata,-46.2817,169.8464,38.44,94,9,3.13
Baruun-Urt,46.6806,113.2792,62.15,25,100,8.03
Tandil,-37.3217,-59.1332,58.1,50,2,7.0
Iqaluit,63.7506,-68.5145,37.13,74,90,21.0
Isangel,-19.55,169.2667,72.18,75,100,8.72
Xining,36.6167,101.7667,56.3,82,100,3.15
Jamestown,42.097,-79.2353,86.85,48,20,5.99
Butaritari,3.0707,172.7902,83.48,73,90,14.0
Olga,43.7444,135.2892,57.06,75,100,4.27
Thompson,55.7435,-97.8558,59.16,67,90,10.36
Pietermaritzburg,-29.6168,30.3928,57.76,93,3,3.22
Rezh,57.37,61.4043,48.13,74,9,1.92
Nanning,22.8167,108.3167,79.25,93,99,3.44
Ulladulla,-35.35,150.4667,48.78,93,100,0.85
Palmer,42.1584,-72.3287,84.47,37,75,1.01
Pyapon,16.2833,95.6833,77.56,90,100,8.03
Kozulka,50.0351,23.797,61.09,90,96,5.23
Conil,44.9673,3.7177,52.95,92,1,1.68
Honningsvag,70.9821,25.9704,48.88,88,100,11.68
Port Macquarie,-31.4333,152.9167,37.36,78,91,8.75
Makueni,-1.8041,37.6203,61.14,77,49,1.61
Kapit,2.0167,112.9333,72.54,99,95,1.14
Kulhudhuffushi,6.6221,73.07,82.85,75,7,13.42
Gamba,-2.65,10.0,75.07,93,100,4.32
Darnah,32.767,22.6367,70.97,79,29,11.61
Mulege,26.8833,-111.9833,94.5,26,98,13.11
Aljezur,37.3191,-8.8033,64.4,80,0,10.6
Komsomolskiy,40.4272,71.7189,77.72,29,1,6.91
Arraial Do Cabo,-22.9661,-42.0278,73.36,88,75,13.8
Bambous Virieux,-20.3428,57.7575,75.45,73,75,9.22
Ayagoz,47.9714,80.4392,52.77,84,58,7.23
Lata,40.1629,-8.3327,66.34,79,51,3.33
Adrar,20.5022,-10.0711,102.22,9,20,9.4
Savannah Bight,16.45,-85.85,89.65,78,85,22.93
Kharp,66.8014,65.8081,53.11,69,100,8.79
Saint-Tite,46.7334,-72.5658,68.85,37,65,6.64
Sitka,57.0531,-135.33,53.49,71,90,4.61
Corinto,37.9407,22.9573,74.89,70,10,4.27
Port Hardy,50.6996,-127.4199,51.98,93,75,5.75
Khandbari,27.3747,87.2039,71.67,90,85,1.57
San Patricio,28.017,-97.5169,93.29,57,100,15.93
Paita,-5.0892,-81.1144,79.36,72,11,18.9
Usinsk,65.9939,57.5281,57.94,53,100,11.41
Fallon,39.4735,-118.7774,63.43,15,20,6.91
Karoi,-16.8099,29.6925,52.5,68,0,3.13
Mandali,33.7499,45.5541,87.55,13,0,11.27
Cabo San Lucas,22.8909,-109.9124,103.51,27,1,11.5
Sambava,-14.2667,50.1667,69.22,81,0,9.86
San Quintin,30.4833,-115.95,68.41,57,67,21.14
Carnarvon,-24.8667,113.6333,60.87,7,75,6.91
Lagos,6.5833,3.75,84.52,85,16,4.56
Tapiramuta,-11.8472,-40.7914,72.64,58,100,4.52
Torzhok,57.0436,34.9622,57.42,77,100,2.39
Lorengau,-2.0226,147.2712,81.01,81,63,10.42
Birin,26.8865,88.0718,63.32,92,100,3.71
Ornskoldsvik,63.2909,18.7153,66.02,94,75,6.91
Sungaipenuh,-2.0833,101.3833,62.01,96,58,2.3
Pringsewu,-5.3582,104.9744,72.54,97,9,1.21
Tommot,58.9564,126.2925,49.03,92,100,2.53
Upata,8.0086,-62.3989,81.34,65,29,8.5
Simpang,-1.2667,104.0833,74.5,95,93,2.39
Lebu,-37.6167,-73.65,54.07,69,78,3.11
Nizwa,22.9333,57.5333,96.08,31,24,2.91
Cap Malheureux,-19.9842,57.6142,75.69,68,46,7.0
Talnakh,69.4865,88.3972,31.26,93,99,3.69
Upernavik,72.7868,-56.1549,35.51,85,0,7.56
Batagay-Alyta,67.8006,130.4114,40.35,73,36,5.3
Itarema,-2.9248,-39.9167,81.0,75,38,12.26
Mahanoro,-19.9,48.8,65.88,88,65,6.33
Baykit,61.67,96.37,35.02,95,75,3.44
Ballina,-28.8667,153.5667,50.18,83,64,3.44
Bac Lieu,9.285,105.7244,79.61,82,100,11.21
Coihaique,-45.5752,-72.0662,42.75,81,90,5.75
Geraldton,-28.7667,114.6,63.01,94,75,0.0
Bacalar,18.6667,-88.3833,80.71,83,75,11.5
Hovd,48.0056,91.6419,57.88,58,78,2.46
La Asuncion,11.0333,-63.8628,82.13,83,90,10.36
Alta Floresta,-9.8756,-56.0861,91.22,43,20,3.44
Hualmay,-11.0964,-77.6139,67.95,75,86,12.5
Uruzgan,32.8333,66.0,78.76,8,0,5.57
Victoria,22.2855,114.1577,84.38,88,100,1.99
Vardo,70.3705,31.1107,58.75,71,0,8.05
Saint-Georges,12.0564,-61.7485,85.68,70,20,19.57
Umm Bab,25.2142,50.8072,92.88,46,0,11.54
Stein,49.4167,11.0167,65.25,90,20,2.3
Trairi,-3.2778,-39.2689,83.34,65,16,12.24
Waingapu,-9.6567,120.2641,73.62,85,100,4.92
Sao Filipe,14.8961,-24.4956,73.4,83,100,8.66
Reinosa,42.9996,-4.138,55.56,94,92,4.34
Evanston,42.0411,-87.6901,92.8,58,20,1.01
Kiyasovo,56.3491,53.1244,51.4,84,16,7.83
Muravlenko,63.7898,74.523,47.3,67,90,1.86
Inhambane,-23.865,35.3833,64.38,94,20,0.0
Atar,20.5169,-13.0499,104.65,12,88,7.87
Praya,14.9215,-23.5087,79.34,65,20,12.66
Tura,25.5198,90.2201,73.87,98,100,4.07
Lagoa,39.05,-27.9833,66.27,91,10,9.91
Biloela,-24.4167,150.5,45.1,39,100,2.57
Cehegin,38.0924,-1.7985,71.65,44,58,6.58
Lompoc,34.6391,-120.4579,83.01,56,1,17.27
Petropavlovsk-Kamchatskiy,53.0452,158.6483,52.39,71,83,2.24
Qaqortoq,60.7167,-46.0333,52.3,79,100,5.53
Whitehorse,60.7161,-135.0538,65.1,25,20,5.01
Mount Gambier,-37.8333,140.7667,55.31,94,96,8.05
Silver City,32.7701,-108.2803,89.67,6,1,10.0
Manzhouli,49.6,117.4333,53.11,68,1,4.05
Mount Isa,-20.7333,139.5,47.97,46,33,3.44
Los Llanos De Aridane,28.6585,-17.9182,67.75,83,0,14.97
Iisalmi,63.5592,27.1907,68.02,57,53,4.68
Jijiang,29.2906,106.2542,72.19,86,100,1.43
Ilulissat,69.2167,-51.1,35.62,93,75,5.75
Dunmore Town,25.5,-76.65,79.97,72,13,8.55
Tambura,5.6,27.4667,75.47,51,12,1.88
Omsukchan,62.5333,155.8,37.27,94,100,3.38
Taltal,-25.4,-70.4833,66.83,66,38,4.99
Opuwo,-18.0607,13.84,62.53,32,0,4.41
Mersing,2.4312,103.8405,76.91,94,100,3.44
Meuselwitz,51.05,12.3,68.14,95,75,3.44
Godda,24.8333,87.2167,85.1,71,100,6.49
Brae,60.3964,-1.353,55.31,94,100,12.19
Hobyo,5.3505,48.5268,78.8,79,48,29.46
Atbasar,51.8,68.3333,59.65,38,100,12.88
Morehead,37.2711,-87.1764,82.31,77,90,3.0
Ketchikan,55.3422,-131.6461,54.07,71,75,17.27
Betioky,-23.7167,44.3833,68.61,59,95,8.77
Chik,54.9928,82.4311,47.95,71,0,4.47
Marawi,7.9986,124.2928,68.65,93,100,2.77
Ostrovnoy,68.0531,39.5131,63.84,56,62,14.63
Port Moresby,-9.4431,147.1797,74.62,94,40,3.44
Toora-Khem,52.4675,96.11,40.62,90,95,2.13
Nemuro,43.3236,145.575,51.01,92,77,7.29
Joao Camara,-5.5375,-35.8197,81.64,52,100,16.42
Zhaoyang,42.682,126.0305,60.67,98,100,2.51
Namanyere,-7.5167,31.05,63.84,64,67,3.69
Meulaboh,4.1363,96.1285,76.14,77,97,3.2
Severo-Kurilsk,50.6789,156.125,47.16,86,41,6.76
Kaduna,10.5222,7.4383,83.71,53,90,4.14
Angoram,-4.0625,144.0661,73.09,99,100,1.36
Tautira,-17.7333,-149.15,84.22,77,2,13.0
Muroto,33.2833,134.15,72.66,79,100,9.4
Zhigansk,66.7697,123.3711,48.52,48,91,12.5
Cochabamba,-17.3895,-66.1568,71.8,11,75,4.61
Yatou,37.15,122.3833,64.09,96,3,3.76
Manggar,-2.8833,108.2667,81.25,76,46,4.83
Porto Belo,-27.1578,-48.5531,71.55,95,100,1.19
Longavi,-35.9667,-71.6833,58.05,69,7,7.67
Fabriano,43.3406,12.9073,70.29,69,13,0.49
Porto San Giorgio,43.1827,13.7934,71.55,73,15,9.26
Felipe Carrillo Puerto,19.5833,-88.05,94.41,37,99,8.68
Kyabe,9.4515,18.9449,83.57,53,32,4.63
Barra Patuca,15.8,-84.2833,84.92,68,33,10.16
Grindavik,63.8424,-22.4338,48.67,87,75,5.75
Aklavik,68.2191,-135.0107,74.23,43,40,3.44
Khandyga,62.6667,135.6,47.75,60,0,6.55
Goundam,16.4145,-3.6708,101.34,17,41,7.27
Irece,-11.3042,-41.8558,78.08,50,99,16.78
Marsh Harbour,26.5412,-77.0636,80.4,69,44,8.14
Oudtshoorn,-33.5907,22.2014,52.16,50,100,3.13
Belyy Yar,53.6039,91.3903,44.49,70,0,4.47
Kargasok,59.0556,80.8572,39.18,74,3,1.68
La Rioja,42.25,-2.5,73.18,84,15,2.08
Lodwar,3.1191,35.5973,87.89,34,12,10.92
Lavrentiya,65.5833,-171.0,34.43,98,100,4.88
Korla,41.7597,86.1469,75.29,29,41,8.25
Fortuna,40.5982,-124.1573,70.48,60,20,5.99
Mozhga,56.4447,52.2276,51.44,86,13,5.86
Rabaul,-4.1967,152.1721,78.01,79,75,4.79
Kizema,61.113,44.8302,55.02,61,3,3.0
Sao Joao Da Barra,-21.6403,-41.0511,75.29,86,4,11.65
Les Cayes,18.2,-73.75,84.58,64,95,10.31
Iberia,29.9502,-91.7507,89.67,62,1,10.36
Samsun,41.25,36.3333,61.56,88,0,3.44
Dingle,10.9995,122.6711,76.39,90,97,2.44
Nelson Bay,-32.7167,152.15,43.0,95,100,17.38
Saldanha,-33.0117,17.9442,62.65,76,55,9.46
Beisfjord,68.3751,17.5988,62.04,73,99,4.63
Abu Samrah,35.3029,37.1841,67.84,66,0,17.2
Riyadh,24.6877,46.7219,96.85,11,0,8.05
Sao Raimundo Nonato,-9.0153,-42.6994,87.51,30,100,7.96
Constitucion,-35.3333,-72.4167,58.69,68,1,14.72
Porto Walter,-8.2686,-72.7439,83.97,63,94,3.36
Xuddur,4.1213,43.8894,74.17,69,46,19.39
Santiago De Cuba,20.0247,-75.8219,86.11,70,40,9.22
Rivera,-30.9053,-55.5508,60.76,74,56,6.71
Udachnyy,66.4167,112.4,45.18,72,90,16.42
Vila Franca Do Campo,37.7167,-25.4333,68.41,91,58,5.7
Kalispell,48.1958,-114.3129,50.04,90,90,0.0
Cayenne,4.9333,-52.3333,86.04,77,75,8.01
Maragogi,-9.0122,-35.2225,76.71,76,9,8.08
Along,28.1667,94.7667,72.01,96,60,2.24
Tatarskaya Kargala,51.9495,55.1731,71.62,82,45,7.72
Waitati,-45.75,170.5667,41.81,92,0,2.95
Kangaatsiaq,68.3065,-53.4641,34.79,87,100,12.03
Kutum,14.2,24.6667,86.4,21,94,1.16
Pangoa,-12.1167,-73.0,83.41,55,54,4.83
Miyako,39.6367,141.9525,64.38,74,18,5.61
Locri,38.2414,16.2623,72.18,84,42,11.72
Praia Da Vitoria,38.7333,-27.0667,71.85,68,40,3.38
Golynki,54.8696,31.3861,56.88,90,71,5.99
Westport,41.1415,-73.3579,85.6,48,1,1.01
Gorontalo,0.5412,123.0595,74.07,94,81,2.24
Acarau,-2.8856,-40.12,81.32,76,55,12.01
Rocha,-34.4833,-54.3333,59.68,84,87,12.1
Haines Junction,60.7522,-137.5108,62.55,27,6,3.44
Yulara,-25.2406,130.9889,33.64,64,0,5.75
Labuan,5.2767,115.2417,80.76,94,20,0.0
Yerbogachen,61.2767,108.0108,39.54,82,14,3.11
Ust-Omchug,61.15,149.6333,43.65,56,5,5.59
Cuamba,-14.8031,36.5372,65.98,68,100,4.94
Huilong,31.8111,121.655,76.03,85,100,5.14
Malanje,-9.5402,16.341,66.92,47,81,2.48
Trinidad,-14.8333,-64.9,84.18,74,40,4.61
Mbanza-Ngungu,-5.25,14.8667,73.6,68,61,2.01
Kolda,12.8833,-14.95,100.71,39,0,0.0
Bilma,18.6853,12.9164,97.23,9,17,7.34
Kindu,-2.95,25.95,75.09,65,52,1.5
Golkoy,40.6875,37.6178,56.61,97,100,1.54
Emerald,-23.5333,148.1667,44.74,49,79,3.44
San Jeronimo,-11.9472,-75.2829,62.83,37,94,1.54
Narsaq,60.9167,-46.05,52.02,77,100,6.91
Kazar,48.0495,19.8614,56.14,85,22,1.36
Katangli,51.7102,143.2326,57.63,78,100,11.83
Sola,-13.8833,167.55,80.22,67,90,20.42
Safaga,26.7292,33.9365,93.15,29,0,18.59
Marsa Matruh,31.3525,27.2453,73.6,73,0,10.36
Tabuk,17.4189,121.4443,73.87,91,100,2.82
Emmett,43.8735,-116.4993,62.01,74,100,5.01
Saint-Francois,46.4154,3.9054,72.84,60,0,6.91
Oskemen,49.9565,82.6119,49.96,87,40,0.0
Norsup,-16.0667,167.3833,77.25,73,85,12.46
Nantucket,41.2835,-70.0995,70.25,45,1,18.41
Esperance,-33.8667,121.9,60.64,90,100,9.06
Namtsy,62.7161,129.6658,41.11,65,38,4.16
Petropavlovka,50.6114,105.3196,54.68,89,71,5.97
Ekhabi,53.5102,142.9671,51.85,93,100,7.09
Northam,51.0333,-4.2167,67.33,93,100,12.97
Gat,31.61,34.7642,75.4,71,9,5.23
Te Anau,-45.4167,167.7167,41.02,93,26,0.81
Galle,6.0367,80.217,80.22,83,15,12.46
Luena,-11.7833,19.9167,57.47,55,67,4.21
La Romana,18.4273,-68.9728,80.33,94,75,4.61
Sribne,50.6638,32.9187,58.8,95,100,7.78
Mountain Home,43.133,-115.6912,51.8,93,90,5.75
Coquimbo,-29.9533,-71.3436,60.53,77,0,10.36
Tiznit,29.5833,-9.5,87.3,20,9,3.89
Half Moon Bay,37.4636,-122.4286,72.61,54,20,1.01
General Pico,-35.6566,-63.7568,57.94,38,20,6.87
Yeppoon,-23.1333,150.7333,42.58,43,100,5.08
Solnechnyy,50.7214,136.6319,60.78,90,100,4.05
Nome,64.5011,-165.4064,41.16,93,90,8.05
Thunder Bay,48.4001,-89.3168,60.71,94,90,12.66
Behbahan,30.5959,50.2417,94.32,9,0,14.58
Tougue,11.4667,-11.6,77.49,55,98,3.13
Eyl,7.9803,49.8164,79.29,78,13,26.02
Waddan,29.1614,16.139,81.16,28,0,12.71
Brownsville,25.9018,-97.4975,91.89,69,75,5.01
Yuci,37.6803,112.7319,55.15,82,0,2.24
Ngaoundere,7.3167,13.5833,70.43,73,92,0.76
Soissons,49.3333,3.3333,73.6,83,5,3.18
Rabat,33.9911,-6.8401,78.21,62,4,6.91
Cabedelo,-6.9811,-34.8339,81.27,74,83,14.41
Cabot,34.9745,-92.0165,93.11,68,20,5.75
Ratnagiri,16.9833,73.3,79.7,84,100,4.76
Atambua,-9.1061,124.8925,70.72,90,100,4.23
Bokhan,53.153,103.7714,48.69,85,100,14.32
Shwebo,22.5667,95.7,78.26,78,100,11.79
Falavarjan,32.5553,51.5097,70.81,11,0,4.34
Paliambela,40.5114,22.5033,68.95,90,38,2.71
Hervey Bay,-25.2986,152.8535,51.03,67,100,3.0
Barabai,-2.5833,115.3833,72.36,98,42,1.41
Rudnichnyy,59.617,52.4703,53.85,59,75,3.65
Mehamn,71.0357,27.8492,57.38,85,100,9.78
Balkanabat,39.5108,54.3671,84.54,36,0,6.96
Bud,39.447,-86.1758,85.86,74,78,1.25
Longyearbyen,78.2186,15.6401,33.64,69,75,8.05
Parker,32.7668,-97.8003,90.68,70,62,1.99
Necochea,-38.5473,-58.7368,54.03,62,3,19.3
Beloha,-25.1667,45.05,66.27,79,0,14.34
Ahipara,-35.1667,173.1667,60.4,88,100,8.61
Danjiangkou,32.5428,111.5086,72.7,80,0,2.77
Hammerfest,70.6634,23.6821,59.45,63,0,6.91
Srednekolymsk,67.45,153.6833,37.58,80,100,8.32
Khudumelapye,-23.8833,24.75,60.12,43,69,7.99
Leningradskiy,69.3833,178.4167,33.67,90,81,5.86
Itacarambi,-15.1022,-44.0919,84.27,36,82,4.05
Robertsport,6.7533,-11.3686,78.12,89,100,12.75
Belaya Gora,68.5333,146.4167,46.99,48,7,4.7
Bama,11.5221,13.6856,86.9,35,100,16.71
Narayanganj,23.6233,90.5011,84.22,92,100,8.57
Christchurch,-43.5333,172.6333,47.03,96,90,2.3
Maceio,-9.6658,-35.7353,81.84,74,75,5.75
San Vicente,-26.6167,-54.1333,61.72,99,78,3.44
Rio Gallegos,-51.6226,-69.2181,39.25,70,0,14.97
Guinguineo,14.2667,-15.95,95.05,49,31,15.95
Poum,-20.2333,164.0167,74.07,74,100,14.47
Pushkinskiye Gory,57.0209,28.9103,53.94,67,35,4.07
Mezen,65.8522,44.24,57.43,49,12,5.19
Sarakhs,36.5449,61.1577,89.74,13,0,2.3
Shingu,33.7333,135.9833,69.91,91,100,5.79
Tilichiki,60.4667,166.1,40.24,86,98,8.79
Kokopo,-4.352,152.2633,75.47,84,68,4.41
Stromness,58.965,-3.296,64.65,96,100,8.66
Kloulklubed,7.0419,134.2556,78.22,85,100,6.38
Teya,60.3778,92.6267,31.51,89,19,2.66
Kasongo,-4.45,26.6667,75.63,51,53,2.8
Kattivakkam,13.2167,80.3167,86.09,84,100,9.19
Apatou,5.155,-54.3472,82.18,77,88,4.9
Iquitos,-3.7481,-73.2472,86.04,74,75,4.61
Aksu,41.1231,80.2644,72.46,30,73,12.62
Impfondo,1.6381,18.0667,76.93,71,45,2.84
Hudson Bay,52.85,-102.3842,68.23,60,100,15.93
Kedrovyy,56.1667,91.8167,30.61,87,23,3.11
Sangar,63.9242,127.4739,49.87,61,0,5.95
Saurimo,-9.6608,20.3916,66.2,49,20,5.26
Moengo,5.6167,-54.4,83.35,66,98,6.22
Pagouria,41.0291,25.3184,69.58,70,46,5.37
Fano,43.8204,13.0121,75.85,62,11,3.15
Lincoln,40.8,-96.667,96.15,44,75,5.99
Vredendal,-31.6683,18.5012,66.36,40,31,8.19
Moron,-34.6534,-58.6198,68.0,46,68,9.57
